category,model,dataset,sample_id,severity,patched_span,patched_span_display,patched_token_position,span_relative_position,position_index,clean_answer,degraded_answer,patched_answer,ground_truth,clean_correctness,degraded_correctness,patched_correctness,clean_confidence,degraded_confidence,patched_confidence,accuracy_recovery,confidence_recovery,answer_changed,correctness_improved,confidence_improved,confidence_exceeds_clean,figure_png,figure_pdf,text_file,caption,interpretation,latex_table_row
confidence_recovers_accuracy_not,Qwen3.5-9B,coco-qa-vi,19037,extreme,assistant_marker,Template suffix,426,2,74,bat,bat,bat,bat,1.0,1.0,1.0,0.9427975416183472,0.9369349479675293,0.971670925617218,0.0,5.0,False,False,True,True,qualitative_viewer/paper_examples/confidence_recovers_accuracy_not_Qwen3.5-9B_coco-qa-vi_19037_pos426.png,qualitative_viewer/paper_examples/confidence_recovers_accuracy_not_Qwen3.5-9B_coco-qa-vi_19037_pos426.pdf,qualitative_viewer/paper_examples/confidence_recovers_accuracy_not_Qwen3.5-9B_coco-qa-vi_19037_pos426.md,"Qwen3.5-9B on COCO-QA-VI, sample 19037: patching the template suffix at token position 426 changes the degraded output from bat (0.94) to bat (0.97). The clean output is bat (0.94). Selection category: confidence recovers accuracy not.","This example shows that patching the selected template suffix position can alter the degraded model behavior at the sample level. In this case, expressed confidence increases while the correctness score does not improve. The qualitative pattern should be interpreted as evidence about this specific intervention and sample, with aggregate trends assessed by the positional-sweep recovery curves.",Qwen3.5-9B & COCO-QA-VI & 19037 & Template suffix & 426 & bat & 0.94 & 1.00 & bat & 0.94 & 1.00 & bat & 0.97 & 1.00 & 0.00 & 5.00 \\
accuracy_recovers_confidence_not,LLaVA-1.5-7B,vqa-v2,148614006,extreme,visual,Visual tokens,405,400,45,Clock,Lamp,Plant,"plant (7), plant and vase (1), plant and decorations (1), vase (1)",0.0,0.0,1.0,0.867550253868103,0.48268237709999084,0.30070623755455017,5.0,-0.47282754888584305,True,True,False,False,qualitative_viewer/paper_examples/accuracy_recovers_confidence_not_LLaVA-1.5-7B_vqa-v2_148614006_pos405.png,qualitative_viewer/paper_examples/accuracy_recovers_confidence_not_LLaVA-1.5-7B_vqa-v2_148614006_pos405.pdf,qualitative_viewer/paper_examples/accuracy_recovers_confidence_not_LLaVA-1.5-7B_vqa-v2_148614006_pos405.md,"LLaVA-1.5-7B on VQA-v2, sample 148614006: patching the visual tokens at token position 405 changes the degraded output from Lamp (0.48) to Plant (0.30). The clean output is Clock (0.87). Selection category: accuracy recovers confidence not.","This example shows that patching the selected visual tokens position can alter the degraded model behavior at the sample level. In this case, answer correctness increases without a corresponding confidence increase. The qualitative pattern should be interpreted as evidence about this specific intervention and sample, with aggregate trends assessed by the positional-sweep recovery curves.",LLaVA-1.5-7B & VQA-v2 & 148614006 & Visual tokens & 405 & Clock & 0.87 & 0.00 & Lamp & 0.48 & 0.00 & Plant & 0.30 & 1.00 & 5.00 & -0.47 \\
accuracy_recovers_confidence_not,LLaVA-1.5-7B,coco-qa-vi,28748,extreme,question,Question,592,11,83,Branch,Nothing,Tree,tree,0.0,0.0,1.0,0.19930656254291534,0.12450569123029709,0.11887678503990173,5.0,-0.0752518699194231,True,True,False,False,qualitative_viewer/paper_examples/accuracy_recovers_confidence_not_LLaVA-1.5-7B_coco-qa-vi_28748_pos592.png,qualitative_viewer/paper_examples/accuracy_recovers_confidence_not_LLaVA-1.5-7B_coco-qa-vi_28748_pos592.pdf,qualitative_viewer/paper_examples/accuracy_recovers_confidence_not_LLaVA-1.5-7B_coco-qa-vi_28748_pos592.md,"LLaVA-1.5-7B on COCO-QA-VI, sample 28748: patching the question at token position 592 changes the degraded output from Nothing (0.12) to Tree (0.12). The clean output is Branch (0.20). Selection category: accuracy recovers confidence not.","This example shows that patching the selected question position can alter the degraded model behavior at the sample level. In this case, answer correctness increases without a corresponding confidence increase. The qualitative pattern should be interpreted as evidence about this specific intervention and sample, with aggregate trends assessed by the positional-sweep recovery curves.",LLaVA-1.5-7B & COCO-QA-VI & 28748 & Question & 592 & Branch & 0.20 & 0.00 & Nothing & 0.12 & 0.00 & Tree & 0.12 & 1.00 & 5.00 & -0.08 \\
accuracy_recovers_confidence_not,LLaVA-1.5-7B,coco-qa-vi,28748,extreme,assistant_marker,Template suffix,604,2,95,Branch,Nothing,Tree,tree,0.0,0.0,1.0,0.19930656254291534,0.12450569123029709,0.11801891028881073,5.0,-0.08672064857599607,True,True,False,False,qualitative_viewer/paper_examples/accuracy_recovers_confidence_not_LLaVA-1.5-7B_coco-qa-vi_28748_pos604.png,qualitative_viewer/paper_examples/accuracy_recovers_confidence_not_LLaVA-1.5-7B_coco-qa-vi_28748_pos604.pdf,qualitative_viewer/paper_examples/accuracy_recovers_confidence_not_LLaVA-1.5-7B_coco-qa-vi_28748_pos604.md,"LLaVA-1.5-7B on COCO-QA-VI, sample 28748: patching the template suffix at token position 604 changes the degraded output from Nothing (0.12) to Tree (0.12). The clean output is Branch (0.20). Selection category: accuracy recovers confidence not.","This example shows that patching the selected template suffix position can alter the degraded model behavior at the sample level. In this case, answer correctness increases without a corresponding confidence increase. The qualitative pattern should be interpreted as evidence about this specific intervention and sample, with aggregate trends assessed by the positional-sweep recovery curves.",LLaVA-1.5-7B & COCO-QA-VI & 28748 & Template suffix & 604 & Branch & 0.20 & 0.00 & Nothing & 0.12 & 0.00 & Tree & 0.12 & 1.00 & 5.00 & -0.09 \\
accuracy_recovers_confidence_not,LLaVA-1.5-7B,coco-qa-vi,17193,extreme,assistant_marker,Template suffix,608,4,99,Red car,Building,Car,car,0.0,0.0,1.0,0.4522911608219147,0.23952795565128326,0.1526607871055603,5.0,-0.40828095437483125,True,True,False,False,qualitative_viewer/paper_examples/accuracy_recovers_confidence_not_LLaVA-1.5-7B_coco-qa-vi_17193_pos608.png,qualitative_viewer/paper_examples/accuracy_recovers_confidence_not_LLaVA-1.5-7B_coco-qa-vi_17193_pos608.pdf,qualitative_viewer/paper_examples/accuracy_recovers_confidence_not_LLaVA-1.5-7B_coco-qa-vi_17193_pos608.md,"LLaVA-1.5-7B on COCO-QA-VI, sample 17193: patching the template suffix at token position 608 changes the degraded output from Building (0.24) to Car (0.15). The clean output is Red car (0.45). Selection category: accuracy recovers confidence not.","This example shows that patching the selected template suffix position can alter the degraded model behavior at the sample level. In this case, answer correctness increases without a corresponding confidence increase. The qualitative pattern should be interpreted as evidence about this specific intervention and sample, with aggregate trends assessed by the positional-sweep recovery curves.",LLaVA-1.5-7B & COCO-QA-VI & 17193 & Template suffix & 608 & Red car & 0.45 & 0.00 & Building & 0.24 & 0.00 & Car & 0.15 & 1.00 & 5.00 & -0.41 \\
confidence_exceeds_clean,Qwen3.5-9B,vqa-v2,318671002,extreme,question,Question,271,6,45,1,0,0,1 (10),1.0,0.0,0.0,0.9927322268486023,0.9998873472213745,0.9999037981033325,0.0,-0.002299172915228658,False,False,True,True,qualitative_viewer/paper_examples/confidence_exceeds_clean_Qwen3.5-9B_vqa-v2_318671002_pos271.png,qualitative_viewer/paper_examples/confidence_exceeds_clean_Qwen3.5-9B_vqa-v2_318671002_pos271.pdf,qualitative_viewer/paper_examples/confidence_exceeds_clean_Qwen3.5-9B_vqa-v2_318671002_pos271.md,"Qwen3.5-9B on VQA-v2, sample 318671002: patching the question at token position 271 changes the degraded output from 0 (1.00) to 0 (1.00). The clean output is 1 (0.99). Selection category: confidence exceeds clean.","This example shows that patching the selected question position can alter the degraded model behavior at the sample level. In this case, expressed confidence increases while the correctness score does not improve. The qualitative pattern should be interpreted as evidence about this specific intervention and sample, with aggregate trends assessed by the positional-sweep recovery curves.",Qwen3.5-9B & VQA-v2 & 318671002 & Question & 271 & 1 & 0.99 & 1.00 & 0 & 1.00 & 0.00 & 0 & 1.00 & 0.00 & 0.00 & -0.00 \\
confidence_exceeds_clean,Qwen3.5-9B,vqa-v2,318671002,extreme,visual,Visual tokens,263,260,37,1,0,0,1 (10),1.0,0.0,0.0,0.9927322268486023,0.9998873472213745,0.9999016523361206,0.0,-0.001999280795851007,False,False,True,True,qualitative_viewer/paper_examples/confidence_exceeds_clean_Qwen3.5-9B_vqa-v2_318671002_pos263.png,qualitative_viewer/paper_examples/confidence_exceeds_clean_Qwen3.5-9B_vqa-v2_318671002_pos263.pdf,qualitative_viewer/paper_examples/confidence_exceeds_clean_Qwen3.5-9B_vqa-v2_318671002_pos263.md,"Qwen3.5-9B on VQA-v2, sample 318671002: patching the visual tokens at token position 263 changes the degraded output from 0 (1.00) to 0 (1.00). The clean output is 1 (0.99). Selection category: confidence exceeds clean.","This example shows that patching the selected visual tokens position can alter the degraded model behavior at the sample level. In this case, expressed confidence increases while the correctness score does not improve. The qualitative pattern should be interpreted as evidence about this specific intervention and sample, with aggregate trends assessed by the positional-sweep recovery curves.",Qwen3.5-9B & VQA-v2 & 318671002 & Visual tokens & 263 & 1 & 0.99 & 1.00 & 0 & 1.00 & 0.00 & 0 & 1.00 & 0.00 & 0.00 & -0.00 \\
confidence_exceeds_clean,Qwen3.5-9B,vqa-v2,318671002,extreme,question,Question,265,0,39,1,0,0,1 (10),1.0,0.0,0.0,0.9927322268486023,0.9998873472213745,0.999901533126831,0.0,-0.0019826201225522488,False,False,True,True,qualitative_viewer/paper_examples/confidence_exceeds_clean_Qwen3.5-9B_vqa-v2_318671002_pos265.png,qualitative_viewer/paper_examples/confidence_exceeds_clean_Qwen3.5-9B_vqa-v2_318671002_pos265.pdf,qualitative_viewer/paper_examples/confidence_exceeds_clean_Qwen3.5-9B_vqa-v2_318671002_pos265.md,"Qwen3.5-9B on VQA-v2, sample 318671002: patching the question at token position 265 changes the degraded output from 0 (1.00) to 0 (1.00). The clean output is 1 (0.99). Selection category: confidence exceeds clean.","This example shows that patching the selected question position can alter the degraded model behavior at the sample level. In this case, expressed confidence increases while the correctness score does not improve. The qualitative pattern should be interpreted as evidence about this specific intervention and sample, with aggregate trends assessed by the positional-sweep recovery curves.",Qwen3.5-9B & VQA-v2 & 318671002 & Question & 265 & 1 & 0.99 & 1.00 & 0 & 1.00 & 0.00 & 0 & 1.00 & 0.00 & 0.00 & -0.00 \\
confidence_exceeds_clean,Qwen3.5-9B,vqa-v2,318671002,extreme,question,Question,272,7,46,1,0,0,1 (10),1.0,0.0,0.0,0.9927322268486023,0.9998873472213745,0.999897837638855,0.0,-0.0014661392502907384,False,False,True,True,qualitative_viewer/paper_examples/confidence_exceeds_clean_Qwen3.5-9B_vqa-v2_318671002_pos272.png,qualitative_viewer/paper_examples/confidence_exceeds_clean_Qwen3.5-9B_vqa-v2_318671002_pos272.pdf,qualitative_viewer/paper_examples/confidence_exceeds_clean_Qwen3.5-9B_vqa-v2_318671002_pos272.md,"Qwen3.5-9B on VQA-v2, sample 318671002: patching the question at token position 272 changes the degraded output from 0 (1.00) to 0 (1.00). The clean output is 1 (0.99). Selection category: confidence exceeds clean.","This example shows that patching the selected question position can alter the degraded model behavior at the sample level. In this case, expressed confidence increases while the correctness score does not improve. The qualitative pattern should be interpreted as evidence about this specific intervention and sample, with aggregate trends assessed by the positional-sweep recovery curves.",Qwen3.5-9B & VQA-v2 & 318671002 & Question & 272 & 1 & 0.99 & 1.00 & 0 & 1.00 & 0.00 & 0 & 1.00 & 0.00 & 0.00 & -0.00 \\
answer_changed,LLaVA-1.5-7B,vqa-v2,507975003,extreme,assistant_marker,Template suffix,607,3,98,Red,No hat,Black,black (10),0.0,0.0,1.0,0.5290867686271667,0.6341047883033752,0.3146616816520691,5.0,3.0417929915102473,True,True,False,False,qualitative_viewer/paper_examples/answer_changed_LLaVA-1.5-7B_vqa-v2_507975003_pos607.png,qualitative_viewer/paper_examples/answer_changed_LLaVA-1.5-7B_vqa-v2_507975003_pos607.pdf,qualitative_viewer/paper_examples/answer_changed_LLaVA-1.5-7B_vqa-v2_507975003_pos607.md,"LLaVA-1.5-7B on VQA-v2, sample 507975003: patching the template suffix at token position 607 changes the degraded output from No hat (0.63) to Black (0.31). The clean output is Red (0.53). Selection category: answer changed.","This example shows that patching the selected template suffix position can alter the degraded model behavior at the sample level. In this case, answer correctness increases without a corresponding confidence increase. The qualitative pattern should be interpreted as evidence about this specific intervention and sample, with aggregate trends assessed by the positional-sweep recovery curves.",LLaVA-1.5-7B & VQA-v2 & 507975003 & Template suffix & 607 & Red & 0.53 & 0.00 & No hat & 0.63 & 0.00 & Black & 0.31 & 1.00 & 5.00 & 3.04 \\
answer_changed,LLaVA-1.5-7B,vqa-v2,188891002,extreme,question,Question,590,9,81,Red,No plane,White,"white (4), white red and orange (2), white and orange (1), white, yellow, orange, and red (1), white red orange yellow (1), orange and gray (1)",0.0,0.0,1.0,0.3730833828449249,0.5251279473304749,0.2507801055908203,5.0,1.804390868059078,True,True,False,False,qualitative_viewer/paper_examples/answer_changed_LLaVA-1.5-7B_vqa-v2_188891002_pos590.png,qualitative_viewer/paper_examples/answer_changed_LLaVA-1.5-7B_vqa-v2_188891002_pos590.pdf,qualitative_viewer/paper_examples/answer_changed_LLaVA-1.5-7B_vqa-v2_188891002_pos590.md,"LLaVA-1.5-7B on VQA-v2, sample 188891002: patching the question at token position 590 changes the degraded output from No plane (0.53) to White (0.25). The clean output is Red (0.37). Selection category: answer changed.","This example shows that patching the selected question position can alter the degraded model behavior at the sample level. In this case, answer correctness increases without a corresponding confidence increase. The qualitative pattern should be interpreted as evidence about this specific intervention and sample, with aggregate trends assessed by the positional-sweep recovery curves.",LLaVA-1.5-7B & VQA-v2 & 188891002 & Question & 590 & Red & 0.37 & 0.00 & No plane & 0.53 & 0.00 & White & 0.25 & 1.00 & 5.00 & 1.80 \\
